name,dob,country,nationalTeam,battingStyle,bowlingStyle
Sid Barnes,05-06-1916,Australia,Australia,Right-hand bat,Leg-break
Sid Emery,15-10-1885,Australia,Australia,Right-hand bat,Leg-break googly
Sid O'Linn,05-05-1927,South Africa,South Africa,Left-hand bat,Leg-break
Sid Pegler,28-07-1888,South Africa,South Africa,Right-hand bat,"Right-arm medium, Leg-break"
Sidath Wettimuny,12-08-1956,Sri Lanka,Sri Lanka,Right-hand bat,Right-arm medium
Sikandar Raza,24-04-1986,Pakistan,Zimbabwe,Right-hand bat,Off-break
Sikander Bakht,25-08-1957,Pakistan,Pakistan,Right-hand bat,Right-arm medium-fast
Simon Brown,29-06-1969,England,England,Right-hand bat,Left-arm medium-fast
Simon Cook,29-01-1972,Australia,Australia,Left-hand bat,Right-arm fast-medium
Simon Davis,08-11-1959,Australia,Australia,Right-hand bat,Right-arm fast-medium
Simon Doull,06-08-1969,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Simon Jones,25-12-1978,Wales,England,Left-hand bat,Right-arm fast
Simon Katich,21-08-1975,Australia,Australia,Left-hand bat,Chinaman
Simon Kerrigan,10-05-1989,England,England,Right-hand bat,Slow left-arm
Simon O'Donnell,26-01-1963,Australia,Australia,Right-hand bat,Right-arm fast-medium
Simon Smith,08-12-1979,England,Scotland,Right-hand bat,
Sivert Samuelson,21-11-1883,South Africa,South Africa,Right-hand bat,"Right-arm medium, Off-break"
Skhawat Ali,05-05-1985,Hong Kong,Hong Kong,Right-hand bat,Right-arm medium
Snuffy Browne,08-10-1890,Barbados,West Indies,Right-hand bat,Right-arm medium
Sohag Gazi,05-08-1991,Bangladesh,Bangladesh,Right-hand bat,Off-break
Sohaib Maqsood,15-04-1987,Pakistan,Pakistan,Right-hand bat,Off-break
Sohail Butt,06-06-1966,Pakistan,United Arab Emirates,Right-hand bat,Right-arm fast-medium
Sohail Fazal,11-11-1967,Pakistan,Pakistan,Right-hand bat,Right-arm fast-medium
Sohail Khan,06-03-1984,Pakistan,Pakistan,Right-hand bat,Right-arm fast-medium
Sohail Tanvir,12-12-1984,Pakistan,Pakistan,Left-hand bat,Left-arm medium-fast
Somachandra de Silva,11-06-1942,Sri Lanka,Sri Lanka,Right-hand bat,Leg-break googly
Sompal Kami,02-02-1996,Nepal,Nepal,Right-hand bat,Right-arm medium
Sonny Moloney,11-08-1910,New Zealand,New Zealand,Right-hand bat,Leg-break
Sonny Ramadhin,01-05-1929,Trinidad and Tobago,West Indies,Right-hand bat,Off-break
Sorabji Colah,22-09-1902,India,India,Right-hand bat,Right-arm medium
Soumya Sarkar,25-02-1993,Bangladesh,Bangladesh,Left-hand bat,Right-arm medium-fast
Sourav Ganguly,08-07-1972,India,India,Left-hand bat,Right-arm medium
Sridharan Jeganathan,11-07-1951,Sri Lanka,Sri Lanka,Right-hand bat,Slow left-arm
Sridharan Sriram,21-02-1976,India,India,Left-hand bat,Slow left-arm
Srinivas Venkataraghavan,21-04-1945,India,India,Right-hand bat,Off-break
Stan McCabe,16-07-1910,Australia,Australia,Right-hand bat,Right-arm medium
Stan Nichols,06-10-1900,England,England,Left-hand bat,Right-arm fast
Stan Worthington,21-08-1905,England,England,Right-hand bat,Right-arm fast-medium
Stanley Christopherson,11-11-1861,England,England,Right-hand bat,Right-arm fast
Stanley de Silva,17-11-1956,Sri Lanka,Sri Lanka,Right-hand bat,Right-arm fast-medium
Stanley Jackson,21-11-1870,England,England,Right-hand bat,Right-arm fast-medium
Stanley Snooke,11-11-1878,South Africa,South Africa,Right-hand bat,
Stefan Kelly,24-08-1988,Bermuda,Bermuda,Right-hand bat,Right-arm fast-medium
Stefan Swanepoel,02-12-1981,Namibia,Namibia,Right-hand bat,Off-break
Stephanus Myburgh,28-02-1984,South Africa,Netherlands,Left-hand bat,Off-break
Stephen Boock,20-09-1951,New Zealand,New Zealand,Right-hand bat,Slow left-arm
Stephen Fleming,01-04-1973,New Zealand,New Zealand,Left-hand bat,Right-arm slow-medium
Stephen Harmison,23-10-1978,England,England,Right-hand bat,Right-arm fast
Stephen Parry,12-01-1986,England,England,Right-hand bat,Slow left-arm
Stephen Peall,02-09-1969,Zimbabwe,Zimbabwe,Left-hand bat,Off-break
Steve Camacho,15-10-1945,Guyana,West Indies,Right-hand bat,Leg-break googly
Steve Elworthy,23-02-1965,Zimbabwe,South Africa,Right-hand bat,Right-arm fast-medium
Steve James,07-09-1967,England,England,Right-hand bat,Right-arm medium
Steve Massiah,21-06-1979,Guyana,United States of America,Right-hand bat,Off-break
Steve O'Keefe,09-12-1984,Malaysia,Australia,Right-hand bat,Slow left-arm
Steve Palframan,12-05-1970,South Africa,South Africa,Right-hand bat,Off-break
Steve Rhodes,17-06-1964,England,England,Right-hand bat,
Steve Rixon,25-02-1954,Australia,Australia,Right-hand bat,
Steve Smith,18-10-1961,Australia,Australia,Right-hand bat,
Steve Snell,27-02-1983,England,,Right-hand bat,
Steve Tikolo,25-06-1971,Kenya,Kenya,Right-hand bat,Right-arm medium
Steve Watkin,15-09-1964,Wales,England,Right-hand bat,Right-arm medium-fast
Steve Waugh,02-06-1965,Australia,Australia,Right-hand bat,Right-arm medium
Steven Davies,17-06-1986,England,England,Left-hand bat,
Steven Finn,04-04-1989,England,England,Right-hand bat,Right-arm fast
Steven Jack,04-08-1970,South Africa,South Africa,Right-hand bat,Right-arm fast
Steven Jacobs,13-09-1988,West Indies,Guyana,Right-hand bat,Off-break
Steven Kirby,04-10-1977,England,,Right-hand bat,Right-arm fast-medium
Steven Lubbers,24-03-1953,Netherlands,Netherlands,Right-hand bat,Off-break
Steven Outerbridge,20-05-1983,Bermuda,Bermuda,Left-hand bat,Off-break
Steven Patterson,03-10-1983,England,,Right-hand bat,Right-arm medium-fast
Steven Smith,02-06-1989,Australia,Australia,Right-hand bat,Leg-break
Steven Welsh,16-03-1974,Australia,Canada,Right-hand bat,Right-arm medium-fast
Stewart Heaney,17-10-1980,Canada,Canada,Right-hand bat,Off-break
Stewie Dempster,15-11-1903,New Zealand,New Zealand,Right-hand bat,Right-arm slow
Stork Hendry,24-05-1895,Australia,Australia,Right-hand bat,Right-arm fast-medium
Stu Gillespie,02-03-1957,New Zealand,New Zealand,Right-hand bat,Right-arm fast-medium
Stu Roberts,22-03-1965,New Zealand,New Zealand,Right-hand bat,Right-arm fast-medium
Stuart Binny,03-06-1984,India,India,Right-hand bat,Right-arm medium
Stuart Broad,24-06-1986,England,England,Left-hand bat,Right-arm fast-medium
Stuart Carlisle,10-05-1972,Zimbabwe,Zimbabwe,Right-hand bat,Right-arm medium
Stuart Chalmers,18-11-1982,Scotland,Scotland,Right-hand bat,Right-arm medium-fast
Stuart Clark,28-09-1975,Australia,Australia,Right-hand bat,Right-arm fast-medium
Stuart Law,18-10-1968,Australia,Australia,Right-hand bat,"Right-arm medium, Leg-break googly"
Stuart MacGill,25-02-1971,Australia,Australia,Right-hand bat,Leg-break googly
Stuart Matsikenyeri,03-05-1983,Zimbabwe,Zimbabwe,Right-hand bat,Off-break
Stuart Meaker,21-01-1989,South Africa,England,Right-hand bat,Right-arm fast-medium
Stuart Thompson,15-08-1991,Ireland,Ireland,Left-hand bat,Right-arm medium
Stuart Williams,12-08-1969,St Kitts and Nevis,West Indies,Right-hand bat,Right-arm medium
Subhash Gupte,11-12-1929,India,India,Right-hand bat,Leg-break googly
Subrata Guha,31-01-1946,India,India,Right-hand bat,Right-arm medium-fast
Subroto Banerjee,13-02-1969,India,India,Right-hand bat,Right-arm medium-fast
Sudath Pasqual,15-10-1961,Sri Lanka,Sri Lanka,Left-hand bat,Right-arm medium
Sudeep Tyagi,19-09-1987,India,India,Right-hand bat,Right-arm medium
Sudhakar Rao,08-08-1952,India,India,Right-hand bat,Right-arm medium
Sudhir Naik,21-02-1945,India,India,Right-hand bat,
Suhrawadi Shuvo,21-11-1988,Bangladesh,Bangladesh,Right-hand bat,Slow left-arm
Sujeewa de Silva,07-10-1979,Sri Lanka,Sri Lanka,Right-hand bat,Left-arm medium-fast
Sujith Somasunder,02-12-1972,India,India,Right-hand bat,Right-arm medium
Sulieman Benn,22-07-1981,Barbados,West Indies,Left-hand bat,Slow left-arm
Sultan Zarawani,24-01-1961,United Arab Emirates,United Arab Emirates,Right-hand bat,Leg-break googly
Sunil Dhaniram,17-10-1968,Guyana,Canada,Left-hand bat,Slow left-arm
Sunil Gavaskar,10-07-1949,India,India,Right-hand bat,Right-arm medium
Sunil Jayasinghe,15-07-1955,Sri Lanka,Sri Lanka,Right-hand bat,
Sunil Joshi,06-06-1969,India,India,Left-hand bat,Slow left-arm
Sunil Narine,26-05-1988,Trinidad and Tobago,West Indies,Left-hand bat,Off-break
Sunil Wettimuny,02-02-1949,Sri Lanka,Sri Lanka,Right-hand bat,Right-arm medium
Suraj Randiv,30-01-1985,Sri Lanka,Sri Lanka,Right-hand bat,Off-break
Suranga Lakmal,10-03-1987,Sri Lanka,Sri Lanka,Right-hand bat,Right-arm medium-fast
Surendra Seeraj,07-09-1973,Canada,Canada,Right-hand bat,
Suresh Perera,16-02-1978,Sri Lanka,Sri Lanka,Right-hand bat,Right-arm fast-medium
Suresh Raina,27-11-1986,India,India,Left-hand bat,Off-break
Surinder Amarnath,30-12-1948,India,India,Left-hand bat,Right-arm medium
Surinder Khanna,03-06-1956,India,India,Right-hand bat,
Suru Nayak,20-10-1954,India,India,Left-hand bat,"Right-arm medium, Leg-break"
Suruj Ragoonath,22-03-1968,Trinidad and Tobago,West Indies,Right-hand bat,Off-break
Suryakumar Yadav,14-09-1990,India,India,Right-hand bat,Right-arm medium
Susil Fernando,19-12-1955,Sri Lanka,Sri Lanka,Right-hand bat,
Swapnil Patil,15-04-1985,India,United Arab Emirates,Right-hand bat,
Syd Curnow,16-12-1907,South Africa,South Africa,Right-hand bat,
Syd Gregory,14-04-1870,Australia,Australia,Right-hand bat,Right-arm
Sydney Barnes,19-04-1873,England,England,Right-hand bat,"Right-arm fast-medium, Right-arm medium"
Sydney Burke,11-03-1934,South Africa,South Africa,Right-hand bat,Right-arm medium-fast
Sydney Callaway,06-02-1868,Australia,Australia,Right-hand bat,Right-arm fast-medium
Syed Abid Ali,09-09-1941,India,India,Right-hand bat,Right-arm medium-fast
Syed Kirmani,29-12-1949,India,India,Right-hand bat,Off-break
Syed Maqsood,11-03-1975,United Arab Emirates,United Arab Emirates,Right-hand bat,Right-arm medium
Syed Rasel,03-07-1984,Bangladesh,Bangladesh,Left-hand bat,Left-arm fast-medium
Syed Wazir Ali,15-09-1903,India,India,Right-hand bat,Right-arm medium
Sylvester Clarke,11-12-1954,Barbados,West Indies,Right-hand bat,Right-arm fast
Sylvester Joseph,05-09-1978,Antigua and barbuda,West Indies,Right-hand bat,Off-break
T Kumaran,30-12-1975,India,India,Right-hand bat,Right-arm medium
TA Sekhar,28-03-1956,India,India,Right-hand bat,Right-arm medium-fast
Tabarak Dar,03-05-1976,Pakistan,Hong Kong,Right-hand bat,Right-arm medium
Tafadzwa Kamungozi,08-06-1987,Zimbabwe,Zimbabwe,Right-hand bat,Leg-break
Tafadzwa Mufambisi,17-12-1986,Zimbabwe,Zimbabwe,Right-hand bat,Off-break
Tahir Naqqash,06-06-1959,Pakistan,Pakistan,Right-hand bat,"Right-arm slow, Right-arm fast-medium"
Talat Ali,29-05-1950,Pakistan,Pakistan,Right-hand bat,Right-arm medium
Talha Jubair,10-12-1985,Bangladesh,Bangladesh,Right-hand bat,Right-arm medium
Tama Canning,07-04-1977,Australia,New Zealand,Right-hand bat,Right-arm fast-medium
Tamauri Tucker,10-12-1988,Bermuda,Bermuda,Right-hand bat,Off-break
Tamim Iqbal,20-03-1989,Bangladesh,Bangladesh,Left-hand bat,Off-break
Tanmay Mishra,22-12-1986,India,Kenya,Right-hand bat,Right-arm medium
Tanvir Afzal,12-06-1988,Pakistan,Hong Kong,Right-hand bat,Right-arm medium-fast
Tanvir Ahmed,20-12-1978,Kuwait,Pakistan,Right-hand bat,Right-arm fast-medium
Tanvir Mehdi,07-11-1972,Pakistan,Pakistan,Right-hand bat,Right-arm fast-medium
Tapash Baisya,25-12-1982,Bangladesh,Bangladesh,Right-hand bat,Right-arm fast-medium
Tareq Aziz,04-09-1983,Bangladesh,Bangladesh,Right-hand bat,Right-arm medium-fast
Tariq Iqbal,03-04-1964,Kenya,Kenya,Right-hand bat,
Tariq Javed,12-06-1949,Pakistan,Canada,Right-hand bat,Leg-break googly
Tarun Nethula,08-05-1983,India,New Zealand,Right-hand bat,Leg-break googly
Taskin Ahmed,03-04-1995,Bangladesh,Bangladesh,Left-hand bat,Right-arm fast-medium
Taslim Arif,01-05-1954,Pakistan,Pakistan,Right-hand bat,Right-arm medium
Tatenda Taibu,14-05-1983,Zimbabwe,Zimbabwe,Right-hand bat,Right-arm medium
Taufeeq Umar,20-06-1981,Pakistan,Pakistan,Left-hand bat,Off-break
Tauseef Ahmed,10-05-1958,Pakistan,Pakistan,Right-hand bat,Off-break
Tawanda Mupariwa,16-04-1985,Zimbabwe,Zimbabwe,Right-hand bat,Right-arm fast-medium
Ted a'Beckett,11-08-1907,Australia,Australia,Right-hand bat,Right-arm fast-medium
Ted Arnold,07-11-1876,England,England,Right-hand bat,Right-arm medium-fast
Ted Badcock,09-08-1897,India,New Zealand,Right-hand bat,Right-arm fast-medium
Ted Bowley,06-06-1890,England,England,Right-hand bat,Leg-break
Ted Dexter,15-05-1935,Italy,England,Right-hand bat,Right-arm medium
Ted McDonald,06-01-1891,Australia,Australia,Right-hand bat,Right-arm fast
Ted Meuli,20-02-1926,New Zealand,New Zealand,Right-hand bat,Leg-break
Ted Tyler,13-10-1864,England,England,Left-hand bat,Slow left-arm
Ted Wainwright,08-04-1865,England,England,Right-hand bat,"Right-arm medium, Off-break"
Teddy Hoad,29-01-1896,Barbados,West Indies,Right-hand bat,Leg-break googly
Teddy Wynyard,01-04-1861,India,England,Right-hand bat,Unknown arm slow underarm
Temba Bavuma,17-05-1990,South Africa,South Africa,Right-hand bat,Right-arm medium
Tendai Chatara,28-02-1991,Zimbabwe,Zimbabwe,Right-hand bat,Right-arm fast-medium
Terry Alderman,12-06-1956,Australia,Australia,Right-hand bat,Right-arm fast-medium
Terry Duffin,20-03-1982,Zimbabwe,Zimbabwe,Left-hand bat,Right-arm medium
Terry Jarvis,29-07-1944,New Zealand,New Zealand,Right-hand bat,Slow left-arm
Terry Jenner,08-09-1944,Australia,Australia,Right-hand bat,Leg-break googly
Tertius Bosch,14-03-1966,South Africa,South Africa,Right-hand bat,Right-arm fast
Thami Tsolekile,09-10-1980,South Africa,South Africa,Right-hand bat,Off-break
Thandi Tshabalala,19-11-1984,South Africa,South Africa,Right-hand bat,Off-break
Tharanga Paranavitana,15-04-1982,Sri Lanka,Sri Lanka,Left-hand bat,Off-break
Tharindu Kaushal,05-03-1993,Sri Lanka,Sri Lanka,Right-hand bat,Off-break
Thelston Payne,13-02-1957,Barbados,West Indies,Left-hand bat,
Thilan Samaraweera,22-09-1976,Sri Lanka,Sri Lanka,Right-hand bat,Off-break
Thilan Thushara,01-03-1981,Sri Lanka,Sri Lanka,Left-hand bat,Left-arm fast-medium
Thilina Kandamby,04-06-1982,Sri Lanka,Sri Lanka,Left-hand bat,Leg-break
Thinus Fourie,23-07-1979,South Africa,Ireland,Right-hand bat,Right-arm medium
Thirumalai Srinivasan,26-10-1950,India,India,Right-hand bat,Leg-break
Thisara Perera,03-04-1989,Sri Lanka,Sri Lanka,Left-hand bat,Right-arm medium-fast
Thomas Kelly,03-05-1844,Ireland,Australia,Right-hand bat,Right-arm
Thomas Odoyo,12-05-1978,Kenya,Kenya,Right-hand bat,Right-arm medium-fast
Thomas Routledge,18-04-1867,England,South Africa,Right-hand bat,
Tibby Cotter,03-12-1883,Australia,Australia,Right-hand bat,Right-arm fast
Tich Cornford,25-12-1900,England,England,Right-hand bat,
Tich Freeman,17-05-1888,England,England,Right-hand bat,Leg-break googly
Tiger Lance,06-06-1940,South Africa,South Africa,Right-hand bat,Right-arm medium
Tiger Smith,06-02-1886,England,England,Right-hand bat,
Tillakaratne Dilshan,14-10-1976,Sri Lanka,Sri Lanka,Right-hand bat,Off-break
Tim Ambrose,01-12-1982,Australia,England,Right-hand bat,
Tim Bresnan,28-02-1985,England,England,Right-hand bat,Right-arm fast-medium
Tim Curtis,15-01-1960,England,England,Right-hand bat,Leg-break
Tim de Leede,25-01-1968,Netherlands,Netherlands,Right-hand bat,Right-arm medium
Tim Gruijters,28-08-1991,Netherlands,Netherlands,Right-hand bat,Right-arm medium
Tim Ludeman,23-06-1987,Australia,Australia,Right-hand bat,Right-arm medium-fast
Tim May,26-01-1962,Australia,Australia,Right-hand bat,Off-break
Tim McIntosh,04-12-1979,New Zealand,New Zealand,Left-hand bat,Off-break
Tim Munton,30-07-1965,England,England,Right-hand bat,Right-arm medium-fast
Tim Murtagh,02-08-1981,England,Ireland,Left-hand bat,Right-arm fast-medium
Tim O'Brien,05-11-1861,Ireland,England,Right-hand bat,Left-arm
Tim Paine,08-12-1984,Australia,Australia,Right-hand bat,Right-arm medium
Tim Robinson,21-11-1958,England,England,Right-hand bat,Right-arm medium
Tim Shaw,05-07-1959,South Africa,South Africa,Left-hand bat,Slow left-arm
Tim Smart,10-07-1972,Australia,Hong Kong,Right-hand bat,
Tim Southee,11-12-1988,New Zealand,New Zealand,Right-hand bat,Right-arm fast-medium
Tim Wall,13-05-1904,Australia,Australia,Right-hand bat,Right-arm fast
Tim Weston,06-06-1982,New Zealand,,Right-hand bat,
Tim Zoehrer,25-09-1961,Australia,Australia,Right-hand bat,Leg-break googly
Timm van der Gugten,25-02-1991,Australia,Netherlands,Right-hand bat,Right-arm fast-medium
Timycen Maruma,19-04-1988,Zimbabwe,Zimbabwe,Right-hand bat,Leg-break googly
Tinashe Panyangara,21-10-1985,Zimbabwe,Zimbabwe,Right-hand bat,Right-arm fast-medium
Tino Best,26-08-1981,Barbados,West Indies,Right-hand bat,Right-arm fast
Tino Mawoyo,08-01-1986,Zimbabwe,Zimbabwe,Right-hand bat,Right-arm medium-fast
Tino Mutombodzi,21-12-1990,Zimbabwe,Zimbabwe,Right-hand bat,Leg-break googly
Tinu Yohannan,18-02-1979,India,India,Right-hand bat,Right-arm medium-fast
Tip Snooke,01-02-1881,South Africa,South Africa,Right-hand bat,Right-arm fast-medium
Tito Odumbe,19-05-1965,Kenya,Kenya,Right-hand bat,Right-arm medium
Todd Astle,24-09-1986,New Zealand,New Zealand,Right-hand bat,Leg-break googly
Tom Armitage,25-04-1848,England,England,Right-hand bat,Right-arm medium
Tom Burtt,22-01-1915,New Zealand,New Zealand,Right-hand bat,Slow left-arm
Tom Campbell,09-02-1882,Scotland,South Africa,Right-hand bat,
Tom Cartwright,22-07-1935,England,England,Right-hand bat,Right-arm medium
Tom Cooper,26-11-1986,Australia,Netherlands,Right-hand bat,Off-break
Tom de Grooth,15-05-1979,Netherlands,Netherlands,Right-hand bat,Off-break
Tom Dewdney,23-10-1933,Jamaica,West Indies,Right-hand bat,Right-arm fast
Tom Dollery,14-10-1914,England,England,Right-hand bat,
Tom Emmett,03-09-1841,England,England,Left-hand bat,Left-arm fast roundarm
Tom Garrett,26-07-1858,Australia,Australia,Right-hand bat,Right-arm fast-medium
Tom Goddard,01-10-1900,England,England,Right-hand bat,"Right-arm fast, Off-break"
Tom Graveney,16-06-1927,England,England,Right-hand bat,Leg-break
Tom Groube,02-09-1857,New Zealand,Australia,Right-hand bat,Right-arm medium
Tom Hayward,29-03-1871,England,England,Right-hand bat,Right-arm medium
Tom Heggelman,16-01-1987,Netherlands,Netherlands,Right-hand bat,Right-arm medium
Tom Hogan,23-09-1956,Australia,Australia,Right-hand bat,Slow left-arm
Tom Horan,08-03-1854,Ireland,Australia,Right-hand bat,Right-arm fast-medium roundarm
Tom Kendall,24-08-1851,England,Australia,Left-hand bat,"Left-arm medium, Slow left-arm"
Tom Killick,09-05-1907,England,England,Right-hand bat,
Tom Latham,02-04-1992,New Zealand,New Zealand,Left-hand bat,Right-arm medium
Tom Lowry,17-02-1898,New Zealand,New Zealand,Right-hand bat,Right-arm slow-medium
Tom McKibbin,10-12-1870,Australia,Australia,Left-hand bat,"Right-arm medium, Off-break"
Tom Moody,02-10-1965,Australia,Australia,Right-hand bat,Right-arm medium
Tom Puna,28-10-1929,India,New Zealand,Right-hand bat,Off-break
Tom Richardson,11-08-1870,England,England,Right-hand bat,Right-arm fast
Tom Veivers,06-04-1937,Australia,Australia,Left-hand bat,Off-break
Tommy Andrews,26-08-1890,Australia,Australia,Right-hand bat,Leg-break googly
Tommy Greenhough,09-11-1931,England,England,Right-hand bat,Leg-break googly
Tommy Mitchell,04-09-1902,England,England,Right-hand bat,Leg-break googly
Tommy Scott,14-08-1892,Jamaica,West Indies,Right-hand bat,Leg-break googly
Tommy Ward,02-08-1887,India,South Africa,Right-hand bat,
Tony Blain,17-02-1962,New Zealand,New Zealand,Right-hand bat,Leg-break
Tony Dell,06-08-1947,England,Australia,Right-hand bat,Left-arm fast-medium
Tony Dodemaide,05-10-1963,Australia,Australia,Right-hand bat,Right-arm fast-medium
Tony Gray,23-05-1963,Trinidad and Tobago,West Indies,Right-hand bat,Right-arm fast
Tony Greig,06-10-1946,South Africa,England,Right-hand bat,"Right-arm medium, Off-break"
Tony Harris,27-08-1916,South Africa,South Africa,Right-hand bat,
Tony Howard,27-08-1946,Barbados,West Indies,Left-hand bat,Off-break
Tony Lewis,06-07-1938,Wales,England,Right-hand bat,Leg-break
Tony Lock,05-07-1929,England,England,Right-hand bat,"Left-arm slow-medium, Slow left-arm"
Tony MacGibbon,28-08-1924,New Zealand,New Zealand,Right-hand bat,Right-arm fast-medium
